raw_brand_token,frequency,example_product_name,example_sku
S.M,138,Tapa Carton para Molde Aluminio 021 /Junior / N°0 [S.M],389
Full Fresh,62,Limpiavidrios Repuesto Floral x 500-ml [Full Fresh],1809
Caribe,60,Bolsa Manija Bio 1.5-Kl Blanca [Caribe],1903
VBC,36,Copa Plast. 1-oz Transp./ Cj x 60 Paq [VBC],2313
MP,32,Bolsa Manija Bio 20-Kl Blanca  [MP],2277
Star,28,Portacomida Bio J-1 Eco Life [Star],2176
Vacan,28,Vaso Plast. 14-oz Transp / Cj x 40 paq [Vacan],2300
Fresh,24,Cuchara Plast. Mini Postre x 500 und Blanca [Fresh],324
Protexion,24,Gorro  Nylon Malla Negro x 24 und [Protexion],2291
WAU,24,Plato Icop 15.5-cm Pando [WAU],2347
opaca,18,Bolsa T. Alta 4x14 [opaca] Empaque Hielo,677
Extra,14,Bolsa Manija 10-Kl Blanca [Extra],1179
gruesa,14,Bolsa T. Baja 5x8x1.5 [gruesa] Empaque Alimentos,113
TU-GO,14,Cuchara Plast. Grande x 100 und Blanca / Cj x 30 paq  [TU-GO],2144
Tradicional,12,Porta Pizza Carton Cal. 12  Blanco sin Impresion Antigraso [Tradicional],2255
Golazo,10,Cuchara Plast. Pequeña x 100 und Blanca [Golazo],1723
Icoplastin,10,Nevera Icop. 3-Lts [Icoplastin],228
Intermedio,10,Porta Arepa Carton Cal. 10 Full Color [Intermedio],2194
Pinto,10,Desengrasante Pistola Citrico ECO x 500-ml [Pinto],1813
Popular,10,Servilletas x 100-und Cafeteria [Popular],368
Coffee,8,Vaso Carton 4-oz Estampado [Coffee],837
DECO,8,Cuchara Plast. Pequeña x 100 und Blanca [DECO],817
Marplast,8,Cuchara Plast. Grande x 100 und Blanca [Marplast],1926
Son Plast,8,Vinipel de Alimentos Ref. 300  Premiun en Caja  [Son Plast],2244
GoldenWrap,6,Rollo Aluminio 100-mt en Caja / Cja x 12 rollos [GoldenWrap],1836
Housel,6,Cuchara Madera Grande x 50 uds [Housel],1725
Las Delicias,6,Desmanchador Multiusos Oxiplus x 850 cc [Las Delicias],2070
Ecomax,4,Par Guante Reutilizable Negro - Talla L [Ecomax],780
Pedigrre,4,Alimento Humedo Raza Peq Pollo [Pedigrre],2130
Pizza,4,Bolsa Aluminio P-12 [Pizza],176
Sani Tisu,4,Toalla Mano x 100-mt Nat Center Pull 2-H. [Sani Tisu],2233
Super Blank,4,Toalla Cocina x 50-H. Abullonada Triple Hoja [Super Blank],1777
Tork,4,Servilletas x 100-und Cafeteria Plus 72144 [Tork],2202
Whiskas,4,Alimento Humedo Adulto Atun [Whiskas],2131
