sku,name,raw_brand_token,matched_brand_id,matched_brand_name,source
851,VisualPack VI-1A Base 6-cm Cupcake 1 Und [Darnel],Darnel,DAR,DARNEL,brand_master
839,VisualPack VI-Tapa Cupcakes para 2 und [Darnel],Darnel,DAR,DARNEL,brand_master
840,VisualPack VN-6 Cristal Tapa Alta Cupcakes para 6 und [Darnel],Darnel,DAR,DARNEL,brand_master
389,Tapa Carton para Molde Aluminio 021 /Junior / N°0 [S.M],S.M,,,
390,Tapa Carton para Molde Aluminio 031 / Lasaña / N°1 [S.M],S.M,,,
392,Tapa Carton para Molde Aluminio 041 / N°2 [S.M],S.M,,,
393,Tapa Carton para Molde Aluminio 051 / N°3 [S.M],S.M,,,
2153,Palo Dientes Empacado  Individual x 500 und [El Sol],El Sol,ELS,EL SOL,brand_master
403,Palo Dientes [El Sol],El Sol,ELS,EL SOL,brand_master
1522,Palo Dientes Tarrito [El Sol],El Sol,ELS,EL SOL,brand_master
1256,Jabon Tocador Antibacterial Surtido Protex x 110-Gr,Protex,PRT,PROTEX,brand_master
1869,Pañitos Humedos  Medsonic x 100 und,Medsonic,MEDSONIC,MEDSONIC,brand_master
1130,Papel Hig ELITE MAX Resistente - 2H x 1 rollo x 24.5-mt,ELITE,ELI,ELITE,brand_master
1378,Papel Hig FAMILIA FAMILIAR - 2H x 1 rollo x 26-mt,FAMILIA,FAM,FAMILIA,brand_master
1828,P.H. ELITE Suave y Resistente - 3H x 1 rollo x 28-mt,ELITE,ELI,ELITE,brand_master
1122,Papel Hig ELITE DUO ROLLAZO - 3H x 1 rollo x 35.8-mt,ELITE,ELI,ELITE,brand_master
1666,P.H. ELITE MAX Resistente - 2H x  4 Rollos x 24.5-mt,ELITE,ELI,ELITE,brand_master
1075,P.H.ELITE MAX Resistente - 2H x 4 rollos x 27-mt,ELITE,ELI,ELITE,brand_master
1868,P.H. ELITE Suave y Resistente - 3H x 4 rollos x 24-mt,ELITE,ELI,ELITE,brand_master
1829,P.H. ELITE Suave y Resistente - 3H x 12 rollos x 24-mt,ELITE,ELI,ELITE,brand_master
1830,P.H. ELITE MAX Resistente - 2H x 12 Rollos x 24.5-mt,ELITE,ELI,ELITE,brand_master
1626,P.H. ELITE MAX Resistente Hiperpack - 2H x 24 rollos x 16-mt,ELITE,ELI,ELITE,brand_master
1776,Papel Higienico Blanco Jumbo. 2H x 250-mts [Mio],Mio,MIO,MIO,brand_master
1527,Papel Higienico Jumbo Blanco. D. Hoja x 250-mts [RENDIPEL],RENDIPEL,,,
385,Papel Higienico Blanco Jumbo. 2H x 250-mts [Nube],Nube,NUB,NUBE,brand_master
2112,Papel Higienico SaniTisu Blanco  Jumbo 2H x 250-mts [Tisu],Tisu,TIS,TISU,brand_master
2172,Contenedor Plast. 12-oz Doble Uso Combo Pack Negro con Tapa [Darnel],Darnel,DAR,DARNEL,brand_master
2134,Contenedor Plast. 4 Div. Cristal con Tapa 4 Divisiones Cristal [Darnel],Darnel,DAR,DARNEL,brand_master
2133,Contenedor Plast. 4 Div. Negro con Tapa 4 Divisiones Cristal [Darnel],Darnel,DAR,DARNEL,brand_master
2170,Contenedor Plast. 8-oz Doble Uso Combo Pack Negro con Tapa [Darnel],Darnel,DAR,DARNEL,brand_master
1730,Base Plast. Pet 5-oz / Boca 92 [Mio],Mio,MIO,MIO,brand_master
1731,Base Plast. Pet 8-oz / Boca 92 [Mio],Mio,MIO,MIO,brand_master
842,Contenedor Plast. 8-oz Doble Uso Combo Pack Cristal con Tapa [Darnel],Darnel,DAR,DARNEL,brand_master
1981,Contenedor Deli PET 8-oz Cristal con Tapa Opal - L [Darnel],Darnel,DAR,DARNEL,brand_master
841,Contenedor Plast. 12-oz Doble Uso Combo Pack con Tapa [Darnel],Darnel,DAR,DARNEL,brand_master
1979,Contenedor Deli PET 12-oz Cristal con Tapa Opal - L [Darnel],Darnel,DAR,DARNEL,brand_master
843,Contenedor Plast. 16-oz Doble Uso Combo Pack Negro con Tapa Cristal [Darnel],Darnel,DAR,DARNEL,brand_master
2011,Contenedor Deli PET 16-oz Cristal con Tapa Opal - L [Darnel],Darnel,DAR,DARNEL,brand_master
1982,Contenedor Deli PET 24-oz Cristal con Tapa Opal - L [Darnel],Darnel,DAR,DARNEL,brand_master
1578,Contenedor Pet. 24-oz 3 Div. Redondo Negro con Tapa Cristal [Darnel],Darnel,DAR,DARNEL,brand_master
746,Contenedor Plast. 4 Div. Negro con Tapa Lisa Cristal [Darnel],Darnel,DAR,DARNEL,brand_master
1591,Contenedor Plast. Altura 3.5 Multiproposito con Tapa [Darnel],Darnel,DAR,DARNEL,brand_master
2235,Portacomida Bio Caña J-1  [Chevere],Chevere,CHE,CHEVERE,brand_master
2176,Portacomida Bio J-1 Eco Life [Star],Star,,,
2196,Portacomida Bio J-2 Eco Life [Star] Unidades,Star,,,
2177,Portacomida Bio P-1 Eco Life [Star],Star,,,
1889,Portacomida Bio C-1 Eco Life  [Star],Star,,,
1934,Portacomida Bio K-1 Eco Life [Star],Star,,,
1890,Portacomida Bio J-2 Eco Life [Star],Star,,,
2234,Portacomida Bio Caña P-3  [Chevere],Chevere,CHE,CHEVERE,brand_master
1891,Portacomida Bio P-3 Eco Life [Star],Star,,,
2291,Gorro  Nylon Malla Negro x 24 und [Protexion],Protexion,,,
2151,Gorro Oruga Blanco Bolsa x 100 Und [House],House,HOU,HOUSE,brand_master
2152,Gorro Oruga Blanco Display x 20 Und [House],House,HOU,HOUSE,brand_master
2297,Guante Manipulacion 5 Dedos [Plastic Gloves],Plastic Gloves,,,
2305,Guante Nitrilo Azul Largo Cal. 6.5 - Talla L [Protexion],Protexion,,,
2304,Guante Nitrilo Azul Largo Cal. 6.5 - Talla M [Protexion],Protexion,,,
2268,Guante Nitrilo Naranja Industrial Textura Diamante Cal. 8.5 - Talla L -  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
2269,Guante Nitrilo Naranja Industrial Textura Diamante Cal. 8.5 - Talla M -  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
2270,Guante Nitrilo Naranja Industrial Textura Diamante Cal. 8.5 - Talla XL -  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
2288,Guante Nitrilo Naranja Industrial Textura Labrado Cal. 8.5 - Talla L -  [PROTEXION],PROTEXION,,,
2289,Guante Nitrilo Naranja Industrial Textura Labrado Cal. 8.5 - Talla M -  [PROTEXION],PROTEXION,,,
2162,Guante Nitrilo Negro Industrial Textura Diamante Cal. 8.5 - Talla L -  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
2161,Guante Nitrilo Negro Industrial Textura Diamante Cal. 8.5 - Talla M -  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
2163,Guante Nitrilo Negro Industrial Textura Diamante Cal. 8.5 - Talla XL -  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
2286,Guante Nitrilo Negro Industrial Textura Labrado Cal. 8.5 - Talla L -  [PROTEXION],PROTEXION,,,
2287,Guante Nitrilo Negro Industrial Textura Labrado Cal. 8.5 - Talla M -  [PROTEXION],PROTEXION,,,
760,Gorro Tipo Oruga Blanco x 100 Und [Mio],Mio,MIO,MIO,brand_master
2095,Gorro Tipo Oruga Azul x 100 Und [ Clic Medical ],Clic Medical,,,
831,Guante Domestico - Talla 7 [El Rey],El Rey,ELR,EL REY,brand_master
832,Guante Domestico - Talla 8 [El Rey],El Rey,ELR,EL REY,brand_master
833,Guante Industrial Bicolor Cal 35 - Talla 8 [El Rey],El Rey,ELR,EL REY,brand_master
834,Guante Industrial Bicolor Cal 35 - Talla 9 [El Rey],El Rey,ELR,EL REY,brand_master
359,Guante Vinilo Talla S [Protexion],Protexion,,,
2111,Guante Nitrilo Negro Cal. 4 - Talla S [Protexion],Protexion,,,
1754,Guante Nitrilo Negro- Talla M [House],House,HOU,HOUSE,brand_master
632,Guante Nitrilo Negro Cal. 4 - Talla M [Protexion],Protexion,,,
1988,Guante Nitrilo Negro Cal. 5.0 - Talla M- Extra resistente  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
1755,Guante Nitrilo Negro - Talla L  [House],House,HOU,HOUSE,brand_master
595,Guante Nitrilo Azul Cal. 4- Talla L [Protexion],Protexion,,,
631,Guante Nitrilo Negro Cal. 4- Talla L [Protexion],Protexion,,,
1989,Guante Nitrilo Negro Cal. 5.0 - Talla L -Extra resistente  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
780,Par Guante Reutilizable Negro - Talla L [Ecomax],Ecomax,,,
782,Par Guante Reutilizable Azul - Talla L [Ecomax],Ecomax,,,
363,Guante Manipulacion 5 Dedos [Mio],Mio,MIO,MIO,brand_master
1789,Guante Manipulacion 5 Dedos [House],House,HOU,HOUSE,brand_master
559,Tapaboca Individual Azul x 50 und [Face Mask],Face Mask,,,
1066,Tapaboca Individual x 50-und [Mio],Mio,MIO,MIO,brand_master
2094,Tapaboca 3 capas Azul  Individual x 50-und  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
1870,Tapaboca 3 capas Negro  Individual x 50-und  [MEDSONIC],MEDSONIC,MEDSONIC,MEDSONIC,brand_master
1132,Clavo pepa El Rey x 9-Gr,El Rey,ELR,EL REY,brand_master
1993,Oregano Puro  El Rey x 10-Gr,El Rey,ELR,EL REY,brand_master
