unit_candidate_id,raw_presentation,source,parsed_quantity,parsed_unit_token,suggested_unity_id,factor_to_base,status,notas
UC00001,Onzas,unities_json,,oz,U01,,aprobado,Registro maestro unities.json.
UC00002,Mililitros,unities_json,,ml,U02,,aprobado,Registro maestro unities.json.
UC00003,Litros,unities_json,,L,U03,,aprobado,Registro maestro unities.json.
UC00004,Centímetros Cúbicos,unities_json,,cc,U04,,aprobado,Registro maestro unities.json.
UC00005,Centímetros,unities_json,,cm,U05,,aprobado,Registro maestro unities.json.
UC00006,Milímetros,unities_json,,mm,U06,,aprobado,Registro maestro unities.json.
UC00007,Pulgadas,unities_json,,in,U07,,aprobado,Registro maestro unities.json.
UC00008,Gramos,unities_json,,g,U08,,aprobado,Registro maestro unities.json.
UC00009,Kilogramos,unities_json,,kg,U09,,aprobado,Registro maestro unities.json.
UC00010,Libras,unities_json,,lb,U10,,aprobado,Registro maestro unities.json.
UC00011,A partir 10 pares,ecoplast_variant,,,,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
UC00012,A partir 12 sobre x 9 g,ecoplast_variant,,,U08,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
UC00013,A partir de  10 pares,ecoplast_variant,10,,,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
UC00014,A partir de 10,ecoplast_variant,10,,,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
UC00015,A partir de 10  Bultos x 200 und,ecoplast_variant,200,,,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
UC00016,A partir de 10 Bultos,ecoplast_variant,10,,,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
UC00017,A partir de 10 Millares,ecoplast_variant,,,,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
UC00018,A partir de 10 Paq de 500 uds.,ecoplast_variant,10,,,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
UC00019,A partir de 10 Paq de kilo,ecoplast_variant,10,,,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
UC00020,A partir de 10 Paq x 10 uds.,ecoplast_variant,10,,,,propuesto,Texto libre desde ecoplast; cantidad/factor solo si patrón regex coincidió; validar humano.
